"","feature","accuracyDifference"
"28","ENSG00000197989.13",0.00420757363253865
"98","ENSG00000196696.12",0.0028050490883591
"110","ENSG00000255717.6",0.0028050490883591
"50","ENSG00000225470.7",0.00245441795231416
"68","ENSG00000212978.6",0.00245441795231416
"6","ENSG00000225383.7",0.00140252454417955
"26","ENSG00000203362.2",0.00140252454417955
"63","ENSG00000235298.1",0.00140252454417955
"77","ENSG00000224592.5",0.00140252454417955
"16","ENSG00000232442.1",0.00105189340813472
"17","ENSG00000260401.1",0.00105189340813472
"27","ENSG00000242396.1",0.00105189340813472
"46","ENSG00000250786.1",0.00105189340813472
"111","ENSG00000239569.3",0.00105189340813472
"9","ENSG00000228794.8",0.000701262272089886
"103","ENSG00000175061.17",0.000701262272089886
"4","ENSG00000242147.1",0.000701262272089775
"7","ENSG00000248429.5",0.000701262272089775
"30","ENSG00000256083.1",0.000701262272089775
"39","ENSG00000233429.9",0.000701262272089775
"54","ENSG00000224914.3",0.000701262272089775
"62","ENSG00000234171.2",0.000701262272089775
"72","ENSG00000225439.2",0.000701262272089775
"76","ENSG00000242588.5",0.000701262272089775
"108","ENSG00000254531.1",0.000701262272089775
"65","ENSG00000259001.3",0.000350631136044943
"69","ENSG00000247556.6",0.000350631136044943
"2","ENSG00000234650.5",0.000350631136044832
"20","ENSG00000237883.1",0.000350631136044832
"61","ENSG00000260804.3",0.000350631136044832
"64","ENSG00000205664.10",0.000350631136044832
"67","ENSG00000235884.3",0.000350631136044832
"70","ENSG00000224870.6",0.000350631136044832
"91","ENSG00000254258.1",0.000350631136044832
"94","ENSG00000232164.1",0.000350631136044832
"97","ENSG00000261061.1",0.000350631136044832
"109","ENSG00000186594.14",0.000350631136044832
"12","ENSG00000231483.1",0
"40","ENSG00000259380.5",0
"41","ENSG00000116883.8",0
"47","ENSG00000224032.6",0
"48","ENSG00000197182.14",0
"55","ENSG00000223784.1",0
"87","ENSG00000230937.11",0
"88","ENSG00000247092.6",0
"89","ENSG00000255176.1",0
"90","ENSG00000226328.6",0
"92","ENSG00000185904.11",0
"93","ENSG00000182165.17",0
"1","ENSG00000250742.2",-0.000350631136044832
"3","ENSG00000215256.3",-0.000350631136044832
"36","ENSG00000196756.11",-0.000350631136044832
"38","ENSG00000261116.1",-0.000350631136044832
"51","ENSG00000224799.1",-0.000350631136044832
"52","ENSG00000255135.3",-0.000350631136044832
"58","ENSG00000243701.5",-0.000350631136044832
"75","ENSG00000232956.8",-0.000350631136044832
"101","ENSG00000154537.4",-0.000350631136044832
"105","ENSG00000251603.1",-0.000350631136044832
"5","ENSG00000171889.3",-0.000701262272089664
"10","ENSG00000255893.1",-0.000701262272089664
"29","ENSG00000227036.6",-0.000701262272089664
"49","ENSG00000253982.1",-0.000701262272089664
"53","ENSG00000224260.6",-0.000701262272089664
"60","ENSG00000177822.7",-0.000701262272089664
"82","ENSG00000240476.1",-0.000701262272089664
"107","ENSG00000163597.14",-0.000701262272089664
"42","ENSG00000184224.3",-0.000701262272089775
"95","ENSG00000251562.8",-0.000701262272089775
"31","ENSG00000225377.5",-0.00105189340813461
"81","ENSG00000251022.6",-0.00105189340813461
"85","ENSG00000241990.5",-0.00105189340813461
"104","ENSG00000260032.1",-0.00105189340813461
"84","ENSG00000205885.7",-0.00140252454417944
"15","ENSG00000254635.5",-0.00140252454417955
"34","ENSG00000260257.2",-0.00140252454417955
"56","ENSG00000259623.1",-0.00140252454417955
"59","ENSG00000230733.2",-0.00140252454417955
"78","ENSG00000259153.1",-0.00140252454417955
"8","ENSG00000248360.7",-0.00175315568022438
"19","ENSG00000247903.1",-0.00175315568022438
"44","ENSG00000247498.9",-0.00175315568022438
"24","ENSG00000248008.2",-0.00210378681626922
"57","ENSG00000253352.9",-0.00210378681626922
"66","ENSG00000254911.3",-0.00210378681626922
"83","ENSG00000225733.5",-0.00210378681626922
"86","ENSG00000235423.8",-0.00210378681626922
"100","ENSG00000226950.6",-0.00210378681626922
"33","ENSG00000223482.7",-0.00245441795231405
"18","ENSG00000258199.1",-0.00245441795231416
"25","ENSG00000232098.3",-0.00280504908835899
"102","ENSG00000232063.1",-0.00280504908835899
"14","ENSG00000247271.6",-0.00315568022440393
"45","ENSG00000229807.10",-0.00315568022440393
"99","ENSG00000255248.7",-0.00315568022440393
"13","ENSG00000237753.1",-0.00350631136044877
"73","ENSG00000242125.3",-0.00350631136044877
"74","ENSG00000231298.6",-0.00420757363253854
"43","ENSG00000230439.2",-0.00490883590462832
"32","ENSG00000222041.11",-0.00561009817671798
"21","ENSG00000234546.3",-0.00561009817671809
"22","ENSG00000172965.15",-0.00561009817671809
"11","ENSG00000245648.1",-0.00596072931276292
"23","ENSG00000197301.7",-0.00596072931276292
"35","ENSG00000214922.9",-0.00631136044880787
"80","ENSG00000236144.6",-0.00631136044880787
"96","ENSG00000246451.2",-0.00631136044880787
"79","ENSG00000245532.8",-0.00876577840112192
"106","ENSG00000261824.6",-0.00911640953716686
"71","ENSG00000204949.8",-0.0101683029453015
"37","ENSG00000249673.6",-0.011921458625526
