"","feature","accuracyDifference"
"50","ENSG00000247708.7",0.0173269230769231
"81","ENSG00000117242.7",0.0125769230769232
"185","ENSG00000226383.6",0.0115769230769232
"241","ENSG00000259380.5",0.00813461538461535
"32","ENSG00000246263.2",0.00630769230769224
"392","ENSG00000232063.1",0.00586538461538455
"140","ENSG00000241860.6",0.00555769230769232
"349","ENSG00000223745.7",0.00553846153846149
"133","ENSG00000203739.3",0.00551923076923078
"221","ENSG00000257167.2",0.00546153846153841
"374","ENSG00000233393.1",0.00538461538461532
"278","ENSG00000259644.1",0.00517307692307689
"85","ENSG00000251095.6",0.00513461538461535
"208","ENSG00000260114.2",0.00475000000000003
"352","ENSG00000231806.3",0.00469230769230766
"125","ENSG00000255794.7",0.0046346153846154
"144","ENSG00000237484.5",0.0043653846153846
"137","ENSG00000231890.7",0.00423076923076926
"398","ENSG00000196167.9",0.00407692307692309
"244","ENSG00000235437.7",0.00401923076923072
"134","ENSG00000250802.7",0.00398076923076918
"343","ENSG00000230316.6",0.00386538461538455
"148","ENSG00000229191.1",0.00382692307692312
"23","ENSG00000234810.3",0.0037307692307692
"228","ENSG00000230612.3",0.0037307692307692
"273","ENSG00000214773.1",0.00365384615384612
"35","ENSG00000226419.7",0.00361538461538458
"390","ENSG00000203325.3",0.00361538461538458
"94","ENSG00000259594.5",0.00359615384615386
"274","ENSG00000224078.13",0.00359615384615386
"195","ENSG00000251603.1",0.00342307692307686
"162","ENSG00000225783.7",0.00334615384615389
"303","ENSG00000261716.1",0.00328846153846152
"219","ENSG00000258609.3",0.0032692307692308
"350","ENSG00000251171.1",0.00324999999999998
"362","ENSG00000234171.2",0.00317307692307689
"242","ENSG00000253939.1",0.00315384615384617
"9","ENSG00000239415.1",0.00311538461538463
"397","ENSG00000261824.6",0.0030961538461538
"261","ENSG00000256546.1",0.00305769230769226
"298","ENSG00000232490.6",0.00301923076923072
"56","ENSG00000250988.7",0.003
"258","ENSG00000233098.8",0.00296153846153846
"341","ENSG00000234912.11",0.00296153846153846
"199","ENSG00000225138.7",0.00288461538461537
"269","ENSG00000235823.2",0.00288461538461537
"325","ENSG00000255455.2",0.00278846153846157
"77","ENSG00000256452.1",0.00271153846153849
"391","ENSG00000196696.12",0.00271153846153849
"73","ENSG00000187951.11",0.00265384615384612
"169","ENSG00000236144.6",0.00259615384615386
"292","ENSG00000206573.8",0.00259615384615386
"119","ENSG00000223482.7",0.00257692307692303
"294","ENSG00000176728.7",0.00257692307692303
"211","ENSG00000250421.5",0.00255769230769232
"255","ENSG00000259366.1",0.00253846153846149
"270","ENSG00000198496.11",0.00253846153846149
"304","ENSG00000246067.7",0.00251923076923077
"31","ENSG00000233251.7",0.00248076923076923
"42","ENSG00000253352.9",0.00248076923076923
"337","ENSG00000254854.1",0.00248076923076923
"45","ENSG00000256417.1",0.00244230769230769
"370","ENSG00000179406.7",0.00244230769230769
"395","ENSG00000234261.3",0.00244230769230769
"20","ENSG00000251637.6",0.00238461538461543
"18","ENSG00000197989.13",0.0023653846153846
"366","ENSG00000236372.1",0.0023653846153846
"61","ENSG00000242125.3",0.00232692307692306
"89","ENSG00000233864.7",0.00232692307692306
"202","ENSG00000257621.7",0.00230769230769234
"357","ENSG00000237298.9",0.00230769230769234
"229","ENSG00000251136.8",0.0022692307692308
"340","ENSG00000253284.2",0.0022692307692308
"126","ENSG00000177337.7",0.00224999999999997
"179","ENSG00000244879.6",0.00213461538461535
"99","ENSG00000232564.3",0.00211538461538463
"87","ENSG00000261801.5",0.0020961538461538
"389","ENSG00000251562.8",0.0020961538461538
"182","ENSG00000203497.2",0.00205769230769226
"121","ENSG00000235381.1",0.00203846153846154
"372","ENSG00000261799.1",0.002
"332","ENSG00000197301.7",0.00196153846153846
"69","ENSG00000250320.5",0.00194230769230763
"306","ENSG00000253636.1",0.00194230769230763
"249","ENSG00000223546.6",0.00192307692307692
"293","ENSG00000247092.6",0.00192307692307692
"376","ENSG00000236991.6",0.00192307692307692
"146","ENSG00000198468.7",0.0019038461538462
"393","ENSG00000175061.17",0.0019038461538462
"222","ENSG00000261490.1",0.00188461538461537
"200","ENSG00000258136.1",0.00184615384615383
"375","ENSG00000224592.5",0.00184615384615383
"183","ENSG00000250899.3",0.00182692307692311
"327","ENSG00000258199.1",0.00182692307692311
"401","ENSG00000259642.2",0.00182692307692311
"100","ENSG00000224020.1",0.00180769230769229
"203","ENSG00000259345.6",0.00180769230769229
"324","ENSG00000176593.7",0.00180769230769229
"28","ENSG00000247828.7",0.00178846153846157
"263","ENSG00000177822.7",0.00178846153846157
"302","ENSG00000233340.1",0.00178846153846157
"46","ENSG00000260804.3",0.0017307692307692
"206","ENSG00000231889.7",0.0017307692307692
"264","ENSG00000226673.2",0.0017307692307692
"64","ENSG00000231074.8",0.00169230769230766
"16","ENSG00000242759.6",0.00165384615384612
"33","ENSG00000229589.1",0.00165384615384612
"224","ENSG00000232098.3",0.0016346153846154
"34","ENSG00000243004.5",0.00161538461538457
"107","ENSG00000205041.1",0.00161538461538457
"245","ENSG00000259291.2",0.00161538461538457
"280","ENSG00000235590.7",0.00159615384615386
"310","ENSG00000182912.6",0.00159615384615386
"318","ENSG00000241336.1",0.00159615384615386
"369","ENSG00000249364.5",0.00159615384615386
"214","ENSG00000261520.5",0.00155769230769232
"187","ENSG00000230438.6",0.00153846153846149
"7","ENSG00000230782.1",0.00151923076923077
"41","ENSG00000229955.1",0.00151923076923077
"55","ENSG00000247556.6",0.00151923076923077
"160","ENSG00000234787.7",0.00151923076923077
"321","ENSG00000179818.13",0.00151923076923077
"72","ENSG00000225733.5",0.00149999999999995
"155","ENSG00000230733.2",0.00149999999999995
"232","ENSG00000254815.5",0.00149999999999995
"283","ENSG00000261098.1",0.00149999999999995
"346","ENSG00000259432.1",0.00149999999999995
"168","ENSG00000259986.1",0.00148076923076923
"281","ENSG00000256193.5",0.00148076923076923
"288","ENSG00000225889.7",0.00148076923076923
"322","ENSG00000234509.1",0.00148076923076923
"60","ENSG00000235919.4",0.0014615384615384
"80","ENSG00000236591.1",0.0014615384615384
"82","ENSG00000249614.1",0.0014615384615384
"163","ENSG00000233223.2",0.0014615384615384
"262","ENSG00000261409.1",0.0014615384615384
"268","ENSG00000224870.6",0.0014615384615384
"289","ENSG00000260949.1",0.0014615384615384
"334","ENSG00000231177.4",0.0014615384615384
"147","ENSG00000243055.1",0.00144230769230769
"299","ENSG00000237978.5",0.00144230769230769
"399","ENSG00000232093.1",0.00144230769230769
"3","ENSG00000215424.9",0.00142307692307697
"49","ENSG00000226091.7",0.00142307692307697
"76","ENSG00000246465.1",0.00142307692307697
"117","ENSG00000260917.1",0.00142307692307697
"279","ENSG00000251022.6",0.00142307692307697
"11","ENSG00000259456.3",0.00140384615384614
"57","ENSG00000234684.6",0.00140384615384614
"65","ENSG00000254205.1",0.00140384615384614
"157","ENSG00000236404.8",0.00140384615384614
"178","ENSG00000223751.1",0.00140384615384614
"225","ENSG00000233396.7",0.00140384615384614
"286","ENSG00000232325.4",0.00140384615384614
"405","ENSG00000259125.1",0.00140384615384614
"75","ENSG00000246792.2",0.00138461538461543
