"","feature","accuracyDifference"
"94","ENSG00000251171.1",0.0187637969094923
"233","ENSG00000226688.6",0.00440397350993382
"393","ENSG00000232098.3",0.00412803532008832
"39","ENSG00000261367.1",0.00410044150110378
"283","ENSG00000196696.12",0.00392384105960264
"130","ENSG00000245479.2",0.00382450331125828
"63","ENSG00000231889.7",0.00360375275938196
"332","ENSG00000226950.6",0.00359823399558501
"297","ENSG00000247092.6",0.00354304635761593
"53","ENSG00000215039.6",0.00326710816777043
"91","ENSG00000228223.3",0.00320640176600451
"339","ENSG00000175061.17",0.00300772626931567
"137","ENSG00000237298.9",0.00285320088300223
"403","ENSG00000225963.7",0.00283664459161148
"7","ENSG00000236453.5",0.00273730684326712
"396","ENSG00000233922.2",0.00262141280353201
"96","ENSG00000205885.7",0.00259933774834442
"32","ENSG00000248714.6",0.00258830022075063
"34","ENSG00000223482.7",0.00256622516556293
"85","ENSG00000261716.1",0.00245033112582782
"108","ENSG00000215417.12",0.00232891832229587
"143","ENSG00000259001.3",0.00217439293598243
"59","ENSG00000244879.6",0.00203642384105962
"426","ENSG00000260032.1",0.00194812362030905
"22","ENSG00000261094.2",0.00187637969094923
"243","ENSG00000245149.3",0.00185982339955859
"301","ENSG00000234912.11",0.00177704194260486
"77","ENSG00000179818.13",0.00171633554083894
"5","ENSG00000236088.9",0.0016997792494482
"322","ENSG00000245970.2",0.00165562913907291
"3","ENSG00000261098.1",0.00163355408388521
"241","ENSG00000212978.6",0.00158940397350993
"388","ENSG00000246451.2",0.00158388520971309
"195","ENSG00000236144.6",0.00154525386313475
"351","ENSG00000256452.1",0.00150110375275947
"223","ENSG00000241666.2",0.00139624724061815
"276","ENSG00000248738.6",0.00137969094922741
"304","ENSG00000259954.1",0.00135761589403982
"183","ENSG00000234509.1",0.00134657836644592
"427","ENSG00000261416.1",0.00134105960264908
"343","ENSG00000261008.6",0.00130794701986758
"397","ENSG00000227486.1",0.00130794701986758
"167","ENSG00000251194.2",0.00129139072847684
"398","ENSG00000197536.11",0.00126931567328925
"356","ENSG00000163597.14",0.00125827814569535
"236","ENSG00000196741.5",0.00124724061810155
"212","ENSG00000224078.13",0.00123620309050776
"440","ENSG00000259448.2",0.00121412803532017
"360","ENSG00000253738.1",0.00118653421633552
"28","ENSG00000234174.1",0.00116997792494489
"324","ENSG00000259291.2",0.00115894039735098
"197","ENSG00000228863.8",0.00103200883002208
"425","ENSG00000213468.5",0.00102649006622524
"373","ENSG00000254254.5",0.00101545253863133
"185","ENSG00000196167.9",0.000993377483443747
"57","ENSG00000260114.2",0.000987858719646795
"87","ENSG00000234072.1",0.000965783664459208
"355","ENSG00000236859.6",0.000954746136865414
"95","ENSG00000261366.1",0.000910596026490129
"189","ENSG00000249673.6",0.000899558498896336
"181","ENSG00000253372.5",0.000877483443708638
"271","ENSG00000260997.1",0.000871964679911685
"152","ENSG00000260580.1",0.000844370860927146
"186","ENSG00000228857.2",0.000838852097130305
"391","ENSG00000234810.3",0.0008278145695364
"406","ENSG00000239665.8",0.0008278145695364
"107","ENSG00000253106.1",0.000816777041942607
"246","ENSG00000225470.7",0.000816777041942607
"348","ENSG00000229276.1",0.000811258278145766
"414","ENSG00000239705.1",0.000750551876379735
"46","ENSG00000236668.2",0.000745033112582782
"133","ENSG00000233527.8",0.000711920529801402
"206","ENSG00000234323.6",0.000711920529801402
"248","ENSG00000251301.6",0.000711920529801402
"36","ENSG00000225205.5",0.00070640176600445
"38","ENSG00000231074.8",0.00070640176600445
"101","ENSG00000255647.3",0.000700883002207497
"69","ENSG00000238113.6",0.000695364238410656
"345","ENSG00000232995.7",0.000673289183222958
"138","ENSG00000224204.1",0.000667770419426117
"352","ENSG00000254635.5",0.000662251655629165
"401","ENSG00000196295.11",0.000662251655629165
"229","ENSG00000234684.6",0.000651214128035371
"279","ENSG00000253829.1",0.000629139072847673
