"","feature","accuracyDifference"
"136","ENSG00000231890.7",0.00620689655172413
"86","ENSG00000230696.1",0.00597701149425289
"356","ENSG00000245532.8",0.00586206896551722
"124","ENSG00000223482.7",0.00487068965517234
"337","ENSG00000251171.1",0.00471264367816093
"334","ENSG00000236199.1",0.00436781609195402
"272","ENSG00000248092.7",0.00380028735632176
"12","ENSG00000261326.2",0.00369252873563219
"81","ENSG00000236591.1",0.00364942528735634
"267","ENSG00000215417.12",0.00363505747126436
"274","ENSG00000261821.2",0.00353448275862067
"215","ENSG00000223797.5",0.00352011494252868
"48","ENSG00000254911.3",0.00335488505747128
"372","ENSG00000196696.12",0.00334770114942529
"208","ENSG00000232098.3",0.00332614942528731
"73","ENSG00000205885.7",0.00329741379310344
"8","ENSG00000259976.3",0.00316810344827589
"175","ENSG00000244879.6",0.00308908045977008
"7","ENSG00000245648.1",0.00306752873563221
"198","ENSG00000261094.2",0.00306752873563221
"278","ENSG00000247092.6",0.00303160919540224
"358","ENSG00000258441.1",0.00300287356321838
"336","ENSG00000223745.7",0.0029813218390804
"129","ENSG00000254166.2",0.00294540229885054
"228","ENSG00000235437.7",0.00271551724137931
"146","ENSG00000223768.2",0.00270114942528732
"174","ENSG00000225092.2",0.00267959770114945
"75","ENSG00000187951.11",0.00260775862068963
"373","ENSG00000232063.1",0.00257902298850576
"18","ENSG00000248008.2",0.00255028735632179
"322","ENSG00000245970.2",0.0025431034482758
"59","ENSG00000204949.8",0.00252873563218392
"71","ENSG00000213468.5",0.00249281609195395
"67","ENSG00000231074.8",0.00244252873563211
"369","ENSG00000251562.8",0.00240660919540225
"190","ENSG00000255717.6",0.0023635057471264
"343","ENSG00000233237.6",0.00232040229885055
"103","ENSG00000226696.5",0.00230603448275857
"113","ENSG00000227467.3",0.00230603448275857
"260","ENSG00000224063.5",0.00229885057471257
"107","ENSG00000224020.1",0.00226293103448272
"365","ENSG00000186615.10",0.00224137931034485
"290","ENSG00000130600.18",0.00219827586206889
"155","ENSG00000178977.3",0.00217672413793102
"223","ENSG00000256746.5",0.00216235632183903
"357","ENSG00000242086.8",0.00214080459770116
"346","ENSG00000231721.7",0.0021048850574712
"376","ENSG00000261824.6",0.00209770114942531
"253","ENSG00000260975.1",0.00207614942528733
"384","ENSG00000239569.3",0.00206896551724134
"259","ENSG00000247199.3",0.00206178160919535
"159","ENSG00000228393.3",0.00204022988505748
"375","ENSG00000253686.1",0.00198275862068964
"350","ENSG00000259735.1",0.00196839080459765
"264","ENSG00000215196.4",0.00196120689655166
"141","ENSG00000257135.5",0.00189655172413794
"268","ENSG00000261441.1",0.00189655172413794
"370","ENSG00000232164.1",0.00189655172413794
"256","ENSG00000198496.11",0.00186781609195397
"323","ENSG00000222041.11",0.00186781609195397
"173","ENSG00000226088.1",0.00185344827586209
"147","ENSG00000260077.1",0.00180316091954025
"209","ENSG00000203362.2",0.00179597701149425
"203","ENSG00000223414.2",0.00178879310344826
"324","ENSG00000231607.10",0.00178879310344826
"340","ENSG00000258634.3",0.00178879310344826
"117","ENSG00000234072.1",0.00178160919540227
"291","ENSG00000261716.1",0.00178160919540227
"197","ENSG00000231889.7",0.00177442528735627
"287","ENSG00000225484.6",0.0017600574712644
"85","ENSG00000228223.3",0.00174568965517241
"382","ENSG00000228434.1",0.00173850574712642
"132","ENSG00000245275.7",0.00173132183908042
"131","ENSG00000177337.7",0.00172413793103443
"26","ENSG00000234810.3",0.00170977011494255
"308","ENSG00000224093.5",0.00170258620689656
"21","ENSG00000241560.5",0.00168821839080457
"151","ENSG00000255201.1",0.00168821839080457
"127","ENSG00000260257.2",0.00168103448275858
"34","ENSG00000247572.7",0.00167385057471259
"91","ENSG00000253738.1",0.00167385057471259
"348","ENSG00000234171.2",0.00166666666666659
"58","ENSG00000242767.1",0.00165948275862071
"3","ENSG00000246089.3",0.00164511494252872
"79","ENSG00000236772.1",0.00163793103448273
"328","ENSG00000259820.1",0.00163793103448273
"178","ENSG00000254258.1",0.00163074712643674
"38","ENSG00000226419.7",0.00162356321839074
"84","ENSG00000228150.1",0.00162356321839074
"172","ENSG00000260276.2",0.00162356321839074
"294","ENSG00000246067.7",0.00161637931034475
"30","ENSG00000259659.1",0.00160919540229887
"295","ENSG00000215039.6",0.00160919540229887
"297","ENSG00000259768.5",0.00160919540229887
"319","ENSG00000228889.6",0.00160919540229887
"222","ENSG00000235016.1",0.00160201149425288
"232","ENSG00000230439.2",0.00160201149425288
"347","ENSG00000261305.1",0.00160201149425288
"207","ENSG00000257167.2",0.00158764367816089
"156","ENSG00000238279.1",0.00158045977011489
"230","ENSG00000204261.8",0.00158045977011489
"60","ENSG00000259347.6",0.0015732758620689
"161","ENSG00000259972.2",0.0015732758620689
"188","ENSG00000214691.7",0.0015732758620689
"261","ENSG00000242588.5",0.0015732758620689
"351","ENSG00000261324.2",0.0015732758620689
"24","ENSG00000261553.5",0.00156609195402302
"284","ENSG00000245694.9",0.00156609195402302
"139","ENSG00000197813.5",0.00155890804597703
"170","ENSG00000179523.4",0.00155890804597703
"362","ENSG00000229950.1",0.00155890804597703
"57","ENSG00000225791.6",0.00155172413793103
"125","ENSG00000225855.6",0.00155172413793103
"245","ENSG00000238113.6",0.00155172413793103
"257","ENSG00000247473.2",0.00155172413793103
"6","ENSG00000255893.1",0.00154454022988504
"128","ENSG00000196756.11",0.00154454022988504
"258","ENSG00000224817.1",0.00154454022988504
"285","ENSG00000204685.6",0.00154454022988504
"339","ENSG00000224032.6",0.00154454022988504
"359","ENSG00000261766.1",0.00154454022988504
"150","ENSG00000250033.5",0.00153735632183905
"249","ENSG00000244558.5",0.00153735632183905
"270","ENSG00000253716.5",0.00153735632183905
"76","ENSG00000256218.1",0.00153017241379305
"195","ENSG00000171889.3",0.00153017241379305
"35","ENSG00000233251.7",0.00152298850574706
"96","ENSG00000242659.1",0.00152298850574706
"16","ENSG00000172965.15",0.00151580459770118
"55","ENSG00000234684.6",0.00151580459770118
"171","ENSG00000206532.2",0.00151580459770118
"92","ENSG00000154537.4",0.00150143678160919
"194","ENSG00000225226.1",0.00150143678160919
"205","ENSG00000255468.6",0.00150143678160919
"371","ENSG00000251179.1",0.00150143678160919
"123","ENSG00000259240.1",0.0014942528735632
"160","ENSG00000260896.5",0.0014942528735632
"182","ENSG00000261188.1",0.0014942528735632
"292","ENSG00000247516.6",0.0014942528735632
"202","ENSG00000223764.2",0.0014870689655172
"282","ENSG00000222033.1",0.0014870689655172
"332","ENSG00000258325.2",0.0014870689655172
"29","ENSG00000227540.1",0.00147988505747121
"53","ENSG00000250988.7",0.00147988505747121
"144","ENSG00000243055.1",0.00147988505747121
