"","feature","accuracyDifference"
"46","ENSG00000250786.1",0.00321879382889201
"98","ENSG00000196696.12",0.00252454417952319
"34","ENSG00000260257.2",0.00188639551192149
"28","ENSG00000197989.13",0.00136746143057509
"9","ENSG00000228794.8",0.000827489481065924
"40","ENSG00000259380.5",0.000680224403927121
"86","ENSG00000235423.8",0.000582047685834475
"95","ENSG00000251562.8",0.000504908835904705
"16","ENSG00000232442.1",0.000203366058906029
"105","ENSG00000251603.1",0.000189340813464223
"77","ENSG00000224592.5",0.000133239831697107
"17","ENSG00000260401.1",-2.80504908836132e-05
"23","ENSG00000197301.7",-3.5063113604461e-05
"91","ENSG00000254258.1",-6.31136044880742e-05
"38","ENSG00000261116.1",-7.0126227208922e-05
"55","ENSG00000223784.1",-7.71388499298808e-05
"7","ENSG00000248429.5",-8.41514726507286e-05
"61","ENSG00000260804.3",-0.000133239831696996
"94","ENSG00000232164.1",-0.000133239831696996
"111","ENSG00000239569.3",-0.000133239831696996
"2","ENSG00000234650.5",-0.000147265077138803
"1","ENSG00000250742.2",-0.000154277699859762
"64","ENSG00000205664.10",-0.000161290322580609
"92","ENSG00000185904.11",-0.000161290322580609
"10","ENSG00000255893.1",-0.000175315568022416
"58","ENSG00000243701.5",-0.000175315568022416
"31","ENSG00000225377.5",-0.000182328190743375
"51","ENSG00000224799.1",-0.000196353436185071
"63","ENSG00000235298.1",-0.000196353436185071
"5","ENSG00000171889.3",-0.000203366058906029
"82","ENSG00000240476.1",-0.000210378681626877
"41","ENSG00000116883.8",-0.000217391304347836
"81","ENSG00000251022.6",-0.000217391304347836
"108","ENSG00000254531.1",-0.000224403927068684
"3","ENSG00000215256.3",-0.000231416549789643
"20","ENSG00000237883.1",-0.000231416549789643
"87","ENSG00000230937.11",-0.00023842917251049
"97","ENSG00000261061.1",-0.000245441795231449
"101","ENSG00000154537.4",-0.000245441795231449
"42","ENSG00000184224.3",-0.000252454417952297
"70","ENSG00000224870.6",-0.000252454417952297
"6","ENSG00000225383.7",-0.000259467040673145
"53","ENSG00000224260.6",-0.000259467040673145
"72","ENSG00000225439.2",-0.000259467040673145
"90","ENSG00000226328.6",-0.000273492286114951
"4","ENSG00000242147.1",-0.00028050490883591
"62","ENSG00000234171.2",-0.00028050490883591
"109","ENSG00000186594.14",-0.000287517531556758
"93","ENSG00000182165.17",-0.000301542776998565
"44","ENSG00000247498.9",-0.000315568022440371
"49","ENSG00000253982.1",-0.000315568022440371
"54","ENSG00000224914.3",-0.000322580645161219
"76","ENSG00000242588.5",-0.000322580645161219
"78","ENSG00000259153.1",-0.000322580645161219
"30","ENSG00000256083.1",-0.000329593267882178
"67","ENSG00000235884.3",-0.000350631136044832
"85","ENSG00000241990.5",-0.000357643758765791
"69","ENSG00000247556.6",-0.000364656381486639
"75","ENSG00000232956.8",-0.000364656381486639
"36","ENSG00000196756.11",-0.000378681626928445
"8","ENSG00000248360.7",-0.0003997194950911
"52","ENSG00000255135.3",-0.000427769985974713
"47","ENSG00000224032.6",-0.00044179523141652
"25","ENSG00000232098.3",-0.000469845722300133
"89","ENSG00000255176.1",-0.000476858345020981
"12","ENSG00000231483.1",-0.000490883590462787
"27","ENSG00000242396.1",-0.000490883590462787
"60","ENSG00000177822.7",-0.000645161290322549
"39","ENSG00000233429.9",-0.000778401122019656
"24","ENSG00000248008.2",-0.000827489481065924
"29","ENSG00000227036.6",-0.000869565217391233
"26","ENSG00000203362.2",-0.0009186535764375
"13","ENSG00000237753.1",-0.00102384291725099
"83","ENSG00000225733.5",-0.00106591865357641
"15","ENSG00000254635.5",-0.00108695652173907
"57","ENSG00000253352.9",-0.00110799438990183
"48","ENSG00000197182.14",-0.0011570827489481
"19","ENSG00000247903.1",-0.00121318373071522
"104","ENSG00000260032.1",-0.0012903225806451
"110","ENSG00000255717.6",-0.00148667601683028
"100","ENSG00000226950.6",-0.00160589060308547
"66","ENSG00000254911.3",-0.00177419354838704
"107","ENSG00000163597.14",-0.00177419354838704
"80","ENSG00000236144.6",-0.00181626928471246
"68","ENSG00000212978.6",-0.00184431977559607
"102","ENSG00000232063.1",-0.00224403927068717
"56","ENSG00000259623.1",-0.00228611500701259
"99","ENSG00000255248.7",-0.00228611500701259
"59","ENSG00000230733.2",-0.00253856942496489
"88","ENSG00000247092.6",-0.00272791023842911
"32","ENSG00000222041.11",-0.00301542776998598
"84","ENSG00000205885.7",-0.00312762973352032
"43","ENSG00000230439.2",-0.00323983169705466
"14","ENSG00000247271.6",-0.00330995792426358
"11","ENSG00000245648.1",-0.00353436185133238
"96","ENSG00000246451.2",-0.0038288920056101
"106","ENSG00000261824.6",-0.0042286115007012
"74","ENSG00000231298.6",-0.00450210378681626
"45","ENSG00000229807.10",-0.00466339410939687
"50","ENSG00000225470.7",-0.00485974754558205
"71","ENSG00000204949.8",-0.00485974754558205
"73","ENSG00000242125.3",-0.00485974754558205
"103","ENSG00000175061.17",-0.00497896213183724
"35","ENSG00000214922.9",-0.00511921458625519
"18","ENSG00000258199.1",-0.00519635343618507
"22","ENSG00000172965.15",-0.0052524544179523
"21","ENSG00000234546.3",-0.00528751753155676
"65","ENSG00000259001.3",-0.00630434782608691
"79","ENSG00000245532.8",-0.00634642356241233
"33","ENSG00000223482.7",-0.0071809256661991
"37","ENSG00000249673.6",-0.00950210378681626
