"","feature","accuracyDifference"
"73","ENSG00000251171.1",0.0138517060367453
"104","ENSG00000259001.3",0.00679790026246718
"153","ENSG00000175061.17",0.00448818897637793
"157","ENSG00000163597.14",0.00425853018372702
"148","ENSG00000196696.12",0.00387795275590541
"34","ENSG00000197301.7",0.00335301837270341
"39","ENSG00000197989.13",0.0032283464566929
"85","ENSG00000235927.4",0.00261154855643042
"95","ENSG00000253352.9",0.0025721784776902
"51","ENSG00000223482.7",0.00251312335957998
"72","ENSG00000223745.7",0.00228346456692907
"35","ENSG00000248008.2",0.00221128608923882
"119","ENSG00000224078.13",0.00213910761154856
"56","ENSG00000249673.6",0.0020472440944882
"1","ENSG00000254960.2",0.00192257217847769
"8","ENSG00000246695.7",0.00191601049868761
"116","ENSG00000242125.3",0.00191601049868761
"52","ENSG00000260257.2",0.00187664041994751
"62","ENSG00000245573.7",0.00169291338582678
"81","ENSG00000225746.10",0.00162729658792649
"58","ENSG00000233429.9",0.00156167979002619
"79","ENSG00000225470.7",0.00136482939632543
"142","ENSG00000246451.2",0.00131889763779525
"134","ENSG00000247092.6",0.00127296587926506
"109","ENSG00000226380.9",0.00123359580052484
"160","ENSG00000215039.6",0.00111548556430441
"47","ENSG00000230896.1",0.0010761154855643
"151","ENSG00000261801.5",0.00102362204724404
"28","ENSG00000251194.2",0.000997375328083971
"74","ENSG00000229807.10",0.000984251968503935
"46","ENSG00000222041.11",0.000853018372703351
"18","ENSG00000226137.5",0.000820209973753205
"135","ENSG00000236333.3",0.000820209973753205
"93","ENSG00000253837.1",0.000695538057742695
"99","ENSG00000227518.5",0.000695538057742695
"49","ENSG00000260517.3",0.000623359580052441
"171","ENSG00000236581.8",0.000603674540682331
"132","ENSG00000117242.7",0.000597112860892368
"123","ENSG00000245532.8",0.000472440944881858
"17","ENSG00000227248.1",0.000439632545931712
"147","ENSG00000170919.15",0.000301837270341165
"83","ENSG00000237187.8",0.000295275590551092
"27","ENSG00000258199.1",0.000288713910761129
"75","ENSG00000250786.1",0.000242782152230947
"129","ENSG00000234456.7",0.000137795275590546
"133","ENSG00000206573.8",6.56167979001809e-05
"105","ENSG00000254911.3",2.62467191600724e-05
"164","ENSG00000261327.4",2.62467191600724e-05
"22","ENSG00000255455.2",-0.000150918635170583
"117","ENSG00000229334.1",-0.00016404199475073
"92","ENSG00000259623.1",-0.000170603674540692
"121","ENSG00000259959.1",-0.000183727034120729
"131","ENSG00000253420.1",-0.000183727034120729
"120","ENSG00000231074.8",-0.000262467191601057
"138","ENSG00000246859.2",-0.00026902887139113
"98","ENSG00000230733.2",-0.000282152230971167
"61","ENSG00000259380.5",-0.000301837270341276
"127","ENSG00000258441.1",-0.000308398950131239
"87","ENSG00000223768.2",-0.000328083989501349
"26","ENSG00000249669.9",-0.000341207349081385
"44","ENSG00000245970.2",-0.000465879265091895
"150","ENSG00000226950.6",-0.000465879265091895
"149","ENSG00000255248.7",-0.000479002624671931
"154","ENSG00000260032.1",-0.000498687664042041
"68","ENSG00000258297.1",-0.000511811023622077
"30","ENSG00000253661.1",-0.00053805774278215
"108","ENSG00000247556.6",-0.00053805774278215
"125","ENSG00000258056.2",-0.000551181102362186
"159","ENSG00000225138.7",-0.000610236220472515
"165","ENSG00000230590.9",-0.000629921259842514
"40","ENSG00000254545.1",-0.00066272965879266
"106","ENSG00000235884.3",-0.000695538057742806
"82","ENSG00000255135.3",-0.00070209973753288
"101","ENSG00000234171.2",-0.00070209973753288
"48","ENSG00000261553.5",-0.000708661417322842
"77","ENSG00000253982.1",-0.000715223097112916
"11","ENSG00000248360.7",-0.000728346456692952
"155","ENSG00000166770.10",-0.000728346456692952
"162","ENSG00000260910.1",-0.000741469816272988
"42","ENSG00000256083.1",-0.000754593175853024
"115","ENSG00000198496.11",-0.000761154855643098
"2","ENSG00000215256.3",-0.000774278215223134
"15","ENSG00000231132.1",-0.000774278215223134
"84","ENSG00000204054.13",-0.000774278215223134
"94","ENSG00000239268.2",-0.00078740157480317
"12","ENSG00000239332.5",-0.000793963254593244
"67","ENSG00000260121.1",-0.000793963254593244
"96","ENSG00000261379.1",-0.000793963254593244
"19","ENSG00000254635.5",-0.000800524934383207
"124","ENSG00000251022.6",-0.000813648293963243
"31","ENSG00000257497.2",-0.000820209973753316
"100","ENSG00000260804.3",-0.000820209973753316
"126","ENSG00000240476.1",-0.00082677165354339
"128","ENSG00000225733.5",-0.00082677165354339
"37","ENSG00000248629.1",-0.000833333333333353
"103","ENSG00000205664.10",-0.000833333333333353
"4","ENSG00000253161.5",-0.000839895013123426
"10","ENSG00000237807.3",-0.000839895013123426
"53","ENSG00000223403.4",-0.000839895013123426
"137","ENSG00000226328.6",-0.000839895013123426
"161","ENSG00000186594.14",-0.000839895013123426
"139","ENSG00000182165.17",-0.000846456692913389
"91","ENSG00000255201.1",-0.000853018372703462
"102","ENSG00000235298.1",-0.000853018372703462
"5","ENSG00000258793.1",-0.000859580052493425
"7","ENSG00000223749.9",-0.000859580052493425
"80","ENSG00000224799.1",-0.000866141732283499
"6","ENSG00000171889.3",-0.000872703412073572
"163","ENSG00000234883.5",-0.000872703412073572
"112","ENSG00000236008.1",-0.000879265091863535
"14","ENSG00000259976.3",-0.000885826771653608
"32","ENSG00000241213.1",-0.000885826771653608
"71","ENSG00000233251.7",-0.000892388451443571
"168","ENSG00000255717.6",-0.000898950131233645
"60","ENSG00000257270.1",-0.000912073490813681
"130","ENSG00000235423.8",-0.000912073490813681
"143","ENSG00000239552.2",-0.000912073490813681
"118","ENSG00000232956.8",-0.000918635170603754
"140","ENSG00000251562.8",-0.000918635170603754
"90","ENSG00000261220.2",-0.000931758530183791
"122","ENSG00000242588.5",-0.000931758530183791
"146","ENSG00000253738.1",-0.000931758530183791
"9","ENSG00000237892.1",-0.000944881889763827
"111","ENSG00000249035.6",-0.000944881889763827
"114","ENSG00000224870.6",-0.000944881889763827
"166","ENSG00000224660.1",-0.000944881889763827
"43","ENSG00000232774.7",-0.000951443569553789
"89","ENSG00000233101.10",-0.000951443569553789
"110","ENSG00000259884.1",-0.000951443569553789
"113","ENSG00000225791.6",-0.000964566929133936
"97","ENSG00000259721.1",-0.000977690288713973
"3","ENSG00000260578.1",-0.000984251968503935
"45","ENSG00000225377.5",-0.000984251968503935
"57","ENSG00000257647.1",-0.000984251968503935
"29","ENSG00000172965.15",-0.000997375328083971
"59","ENSG00000246763.6",-0.000997375328083971
"38","ENSG00000224945.1",-0.00100393700787405
"50","ENSG00000254688.1",-0.00100393700787405
"167","ENSG00000248890.1",-0.00100393700787405
"24","ENSG00000253200.1",-0.00101049868766412
"76","ENSG00000224032.6",-0.00101049868766412
"88","ENSG00000238273.3",-0.00102362204724415
"65","ENSG00000116883.8",-0.00103674540682419
"156","ENSG00000235427.1",-0.00104330708661415
"107","ENSG00000212978.6",-0.00104986876640423
"170","ENSG00000239569.3",-0.00104986876640423
"16","ENSG00000230300.1",-0.00106299212598426
"141","ENSG00000232164.1",-0.00108267716535437
"13","ENSG00000255893.1",-0.00110236220472448
"136","ENSG00000249614.1",-0.00112860892388456
"54","ENSG00000234352.9",-0.0011614173228347
"21","ENSG00000237523.1",-0.00118110236220481
"64","ENSG00000184224.3",-0.00118766404199477
"70","ENSG00000261270.1",-0.00120734908136488
"158","ENSG00000254531.1",-0.00122703412073499
"25","ENSG00000225914.2",-0.00128608923884521
"36","ENSG00000261490.1",-0.00138451443569554
"41","ENSG00000249042.5",-0.00139763779527557
"152","ENSG00000232063.1",-0.00145013123359583
"144","ENSG00000230551.4",-0.00148950131233605
"86","ENSG00000259366.1",-0.00166666666666671
"33","ENSG00000255399.3",-0.00167979002624674
"63","ENSG00000235531.9",-0.00167979002624674
"55","ENSG00000196756.11",-0.00170603674540681
"66","ENSG00000236199.1",-0.00174540682414703
"20","ENSG00000230630.4",-0.00198818897637798
"145","ENSG00000214548.15",-0.00219816272965878
"78","ENSG00000203506.5",-0.00222440944881896
"69","ENSG00000228261.1",-0.00227034120734915
"169","ENSG00000257621.7",-0.00305774278215232
"23","ENSG00000225206.9",-0.00347112860892396
