"","feature","accuracyDifference"
"49","ENSG00000222041.11",0.0115408479834539
"122","ENSG00000261799.1",0.00726990692864515
"33","ENSG00000197301.7",0.00724405377456039
"77","ENSG00000251171.1",0.00679937952430187
"133","ENSG00000205885.7",0.00679937952430187
"127","ENSG00000236144.6",0.00589451913133388
"51","ENSG00000223482.7",0.00541882109617364
"169","ENSG00000163597.14",0.00487590486039291
"174","ENSG00000257894.2",0.00456566701137529
"105","ENSG00000212978.6",0.00417786970010336
"25","ENSG00000225914.2",0.00415201654601849
"86","ENSG00000233237.6",0.00405894519131322
"36","ENSG00000203362.2",0.00402275077559455
"53","ENSG00000234912.11",0.0040175801447776
"24","ENSG00000255455.2",0.00390899689762136
"123","ENSG00000231074.8",0.00387797311271965
"80","ENSG00000258634.3",0.00379007238883133
"16","ENSG00000235448.1",0.00374353671147876
"172","ENSG00000230590.9",0.00368665977249216
"116","ENSG00000242125.3",0.00355739400206811
"154","ENSG00000196696.12",0.00336091003102368
"131","ENSG00000258441.1",0.00308686659772484
"149","ENSG00000246451.2",0.00305067218200616
"31","ENSG00000172965.15",0.00300413650465348
"64","ENSG00000259583.2",0.00291106514994821
"176","ENSG00000255717.6",0.00288004136504649
"157","ENSG00000226950.6",0.00284384694932771
"168","ENSG00000234449.2",0.00263185108583242
"139","ENSG00000225092.2",0.00256463288521191
"40","ENSG00000197989.13",0.0024095139607031
"21","ENSG00000232677.6",0.00236814891416748
"132","ENSG00000225733.5",0.00235780765253346
"121","ENSG00000224078.13",0.00223371251292648
"179","ENSG00000236581.8",0.00198035160289545
"142","ENSG00000117242.7",0.00187176835573932
"89","ENSG00000223768.2",0.00175801447776625
"26","ENSG00000258199.1",0.00166494312306098
"34","ENSG00000248008.2",0.00161323681489134
"153","ENSG00000245694.9",0.00159255429162353
"102","ENSG00000254911.3",0.00155118924508779
"112","ENSG00000204949.8",0.00155118924508779
"118","ENSG00000225205.5",0.00152016546018607
"162","ENSG00000251381.7",0.00149431230610131
"135","ENSG00000261766.1",0.00147362978283339
"13","ENSG00000260114.2",0.00146845915201643
"101","ENSG00000259001.3",0.00144260599793167
"27","ENSG00000247903.1",0.0014167528438469
"71","ENSG00000261534.1",0.00140124095139593
"66","ENSG00000177337.7",0.00138055842812812
"23","ENSG00000254635.5",0.0013495346432264
"57","ENSG00000260257.2",0.00134436401240945
"167","ENSG00000257151.1",0.00130816959669067
"117","ENSG00000231298.6",0.00129265770423981
"96","ENSG00000230733.2",0.0012823164426059
"165","ENSG00000130600.18",0.00126680455015504
"163","ENSG00000251603.1",0.00125129265770418
"76","ENSG00000223745.7",0.00124612202688723
"148","ENSG00000232164.1",0.00124612202688723
"44","ENSG00000249042.5",0.00122543950361942
"97","ENSG00000231721.7",0.00116856256463282
"50","ENSG00000230896.1",0.00115822130299892
"20","ENSG00000261367.1",0.00114270941054806
"130","ENSG00000258655.2",0.00112719751809709
"22","ENSG00000247271.6",0.00111685625646318
"88","ENSG00000224259.6",0.00109617373319537
"63","ENSG00000233429.9",0.00109100310237842
"73","ENSG00000245937.7",0.00108583247156147
"126","ENSG00000245532.8",0.00108066184074451
"156","ENSG00000225484.6",0.00108066184074451
"59","ENSG00000249673.6",0.00100310237849011
"62","ENSG00000257647.1",0.00100310237849011
"55","ENSG00000257298.1",0.000982419855222294
"19","ENSG00000245648.1",0.000966907962771435
"171","ENSG00000186594.14",0.000946225439503512
"69","ENSG00000236199.1",0.000920372285418747
"75","ENSG00000230439.2",0.000915201654601794
"32","ENSG00000257497.2",0.000899689762150935
"5","ENSG00000232564.3",0.000879007238883123
"17","ENSG00000248360.7",0.000879007238883123
"160","ENSG00000260032.1",0.000879007238883123
"47","ENSG00000232774.7",0.000832471561530435
"108","ENSG00000240875.5",0.000827300930713482
"175","ENSG00000228434.1",0.000801447776628716
"138","ENSG00000241990.5",0.000780765253360793
"93","ENSG00000259623.1",0.000754912099276028
"85","ENSG00000227403.1",0.000749741468459075
"67","ENSG00000116883.8",0.000729058945191263
"144","ENSG00000249614.1",0.00072388831437431
"4","ENSG00000248049.6",0.000718717683557357
"140","ENSG00000225889.7",0.000703205791106498
"152","ENSG00000261061.1",0.000703205791106387
"38","ENSG00000250519.6",0.000687693898655528
"106","ENSG00000247556.6",0.000687693898655528
"95","ENSG00000242516.1",0.000661840744570763
"54","ENSG00000257042.1",0.00065667011375381
"92","ENSG00000223784.1",0.00065667011375381
"12","ENSG00000251432.6",0.000651499482936857
"56","ENSG00000244161.1",0.000641158221302951
"8","ENSG00000223749.9",0.000635987590485998
"125","ENSG00000259153.1",0.000635987590485998
"145","ENSG00000226328.6",0.000625646328852092
"52","ENSG00000225855.6",0.000620475698035139
"61","ENSG00000261116.1",0.000620475698035139
"41","ENSG00000241168.1",0.000615305067218186
"68","ENSG00000184224.3",0.000615305067218186
"128","ENSG00000251022.6",0.000610134436401122
"46","ENSG00000256083.1",0.000604963805584169
"164","ENSG00000235427.1",0.000604963805584169
"43","ENSG00000227036.6",0.00058945191313331
"72","ENSG00000228763.1",0.000584281282316357
"84","ENSG00000224799.1",0.000563598759048545
"15","ENSG00000224093.5",0.000553257497414639
"100","ENSG00000205664.10",0.000553257497414639
"60","ENSG00000254951.7",0.000548086866597686
"124","ENSG00000242588.5",0.000548086866597686
"70","ENSG00000260121.1",0.000542916235780733
"113","ENSG00000260586.1",0.00053774560496378
"155","ENSG00000154537.4",0.00053774560496378
"74","ENSG00000233251.7",0.000532574974146827
"104","ENSG00000235884.3",0.000532574974146827
"1","ENSG00000250742.2",0.000527404343329874
"29","ENSG00000237883.1",0.000527404343329874
"110","ENSG00000236008.1",0.00052223371251281
"119","ENSG00000232956.8",0.00052223371251281
"7","ENSG00000242147.1",0.000511892450878904
"10","ENSG00000225383.7",0.000511892450878904
"48","ENSG00000225377.5",0.000506721820061951
"58","ENSG00000196756.11",0.000506721820061951
"98","ENSG00000260804.3",0.000506721820061951
"137","ENSG00000245060.6",0.000501551189244998
"136","ENSG00000215769.8",0.000486039296794138
"3","ENSG00000215256.3",0.000480868665977185
"99","ENSG00000235298.1",0.000470527404343279
"146","ENSG00000182165.17",0.000465356773526326
"90","ENSG00000224260.6",0.00045501551189242
"134","ENSG00000230606.10",0.000449844881075467
"150","ENSG00000251095.6",0.000444674250258514
"111","ENSG00000198496.11",0.000439503619441561
"141","ENSG00000230937.11",0.000439503619441561
"120","ENSG00000206337.10",0.000413650465356685
"178","ENSG00000257621.7",0.000413650465356685
"79","ENSG00000258077.2",0.000403309203722779
"91","ENSG00000238273.3",0.000392967942088873
"109","ENSG00000224870.6",0.000382626680454967
"177","ENSG00000233621.1",0.000377456049638014
"94","ENSG00000253352.9",0.000372285418821061
"115","ENSG00000249379.1",0.000372285418821061
"42","ENSG00000226026.5",0.000367114788004108
"65","ENSG00000259380.5",0.000367114788004108
"9","ENSG00000171889.3",0.000361944157187155
"18","ENSG00000255893.1",0.000361944157187155
"170","ENSG00000254531.1",0.000361944157187155
"81","ENSG00000224032.6",0.000346432264736185
"39","ENSG00000233396.7",0.000336091003102279
"114","ENSG00000229656.6",0.000310237849017514
"82","ENSG00000197182.14",0.000279214064115796
"166","ENSG00000256967.1",0.000279214064115796
"6","ENSG00000253161.5",0.00020165460186139
"161","ENSG00000166770.10",0.000191313340227484
"78","ENSG00000229807.10",0.000155118924508701
"103","ENSG00000259735.1",9.82419855222183e-05
"37","ENSG00000232098.3",3.10237849017181e-05
"87","ENSG00000259366.1",5.17063081695301e-06
"45","ENSG00000260565.6",-7.75594622544062e-05
"129","ENSG00000240476.1",-7.75594622544062e-05
"11","ENSG00000237499.6",-0.000103412616339282
"14","ENSG00000237892.1",-0.000155118924508812
"173","ENSG00000224660.1",-0.000186142709410642
"147","ENSG00000251562.8",-0.000289555325749813
"2","ENSG00000259345.6",-0.000641158221303062
"143","ENSG00000206573.8",-0.000806618407445781
"35","ENSG00000261490.1",-0.000910031023784952
"107","ENSG00000226380.9",-0.00115305067218208
"28","ENSG00000226445.1",-0.00124095139607039
"158","ENSG00000232063.1",-0.00150982419855228
"83","ENSG00000225470.7",-0.0019079627714581
"30","ENSG00000251194.2",-0.00193898655635993
"159","ENSG00000175061.17",-0.00290072388831442
"151","ENSG00000230551.4",-0.00526887280248189
